		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR	QUALITY
		ft	in		GPM	fps	ft/kft		mg/L
10	00:00:00	1,05e+04	18,00	100,00	1,87e+03	2,35	1,82	0,03	0,00
11	00:00:00	5,28e+03	14,00	100,00	1,23e+03	2,57	2,87	0,03	0,00
12	00:00:00	5,28e+03	10,00	100,00	129,34	0,53	0,23	0,04	0,00
21	00:00:00	5,28e+03	10,00	100,00	191,16	0,78	0,47	0,04	0,00
22	00:00:00	5,28e+03	12,00	100,00	120,66	0,34	0,08	0,05	0,00
31	00:00:00	5,28e+03	6,00	100,00	40,81	0,46	0,32	0,05	0,00
110	00:00:00	200,00	18,00	100,00	766,18	0,97	0,35	0,04	0,00
111	00:00:00	5,28e+03	10,00	100,00	481,97	1,97	2,59	0,04	0,00
112	00:00:00	5,28e+03	12,00	100,00	188,70	0,54	0,19	0,04	0,00
113	00:00:00	5,28e+03	8,00	100,00	29,34	0,19	0,04	0,05	0,00
121	00:00:00	5,28e+03	8,00	100,00	140,81	0,90	0,79	0,04	0,00
122	00:00:00	5,28e+03	6,00	100,00	59,19	0,67	0,64	0,05	0,00
9	00:00:00	0,00	0,00	1,00	1,87e+03	0,00	-204,35	0,00	0,00
10	01:00:00	1,05e+04	18,00	100,00	1,85e+03	2,33	1,78	0,03	0,00
11	01:00:00	5,28e+03	14,00	100,00	1,22e+03	2,54	2,81	0,03	0,00
12	01:00:00	5,28e+03	10,00	100,00	130,11	0,53	0,23	0,04	0,00
21	01:00:00	5,28e+03	10,00	100,00	187,69	0,77	0,45	0,04	0,00
22	01:00:00	5,28e+03	12,00	100,00	119,89	0,34	0,08	0,05	0,00
31	01:00:00	5,28e+03	6,00	100,00	40,46	0,46	0,32	0,05	0,00
110	01:00:00	200,00	18,00	100,00	748,58	0,94	0,33	0,04	0,00
111	01:00:00	5,28e+03	10,00	100,00	478,15	1,95	2,55	0,04	0,00
112	01:00:00	5,28e+03	12,00	100,00	191,73	0,54	0,19	0,04	0,00
113	01:00:00	5,28e+03	8,00	100,00	30,11	0,19	0,05	0,05	0,00
