		ELEVATION	BASEDEMAND	INITQUALITY	PRESSURE	HEAD	DEMAND	QUALITY
		ft	GPM	mg/L	psi	ft	GPM	mg/L
10	00:00:00	710,00	0,00	0,50	127,54	1,00e+03	0,00	0,00
11	00:00:00	710,00	150,00	0,50	119,26	985,23	150,00	0,00
12	00:00:00	700,00	150,00	0,50	117,02	970,07	150,00	0,00
13	00:00:00	695,00	100,00	0,50	118,67	968,87	100,00	0,00
21	00:00:00	700,00	150,00	0,50	117,66	971,55	150,00	0,00
22	00:00:00	695,00	200,00	0,50	118,76	969,08	200,00	0,00
23	00:00:00	690,00	150,00	0,50	120,74	968,65	150,00	0,00
31	00:00:00	700,00	100,00	0,50	115,86	967,39	100,00	0,00
32	00:00:00	710,00	100,00	0,50	110,79	965,69	100,00	0,00
9	00:00:00	800,00	0,00	1,00	0,00	800,00	-1,87e+03	0,00
2	00:00:00	850,00	0,00	1,00	52,00	970,00	766,18	0,00
10	01:00:00	710,00	0,00	0,50	128,59	1,01e+03	0,00	0,00
11	01:00:00	710,00	150,00	0,50	120,45	987,98	150,00	0,00
12	01:00:00	700,00	150,00	0,50	118,35	973,14	150,00	0,00
13	01:00:00	695,00	100,00	0,50	119,99	971,92	100,00	0,00
21	01:00:00	700,00	150,00	0,50	118,94	974,50	150,00	0,00
22	01:00:00	695,00	200,00	0,50	120,07	972,11	200,00	0,00
23	01:00:00	690,00	150,00	0,50	122,05	971,69	150,00	0,00
31	01:00:00	700,00	100,00	0,50	117,15	970,36	100,00	0,00
32	01:00:00	710,00	100,00	0,50	112,09	968,69	100,00	0,00
9	01:00:00	800,00	0,00	1,00	0,00	800,00	-1,85e+03	0,00
2	01:00:00	850,00	0,00	1,00	53,33	973,07	748,58	0,00
10	02:00:00	710,00	0,00	0,50	129,25	1,01e+03	0,00	0,00
11	02:00:00	710,00	150,00	0,50	121,20	989,71	180,00	0,00
12	02:00:00	700,00	150,00	0,50	119,63	976,10	180,00	0,00
13	02:00:00	695,00	100,00	0,50	120,91	974,05	120,00	0,00
21	02:00:00	700,00	150,00	0,50	119,35	975,44	180,00	0,00
22	02:00:00	695,00	200,00	0,50	120,82	973,85	240,00	0,00
23	02:00:00	690,00	150,00	0,50	122,78	973,37	180,00	0,00
31	02:00:00	700,00	100,00	0,50	117,01	970,04	120,00	0,00
32	02:00:00	710,00	100,00	0,50	111,89	968,23	120,00	0,00
9	02:00:00	800,00	0,00	1,00	0,00	800,00	-1,84e+03	0,00
2	02:00:00	850,00	0,00	1,00	54,62	976,07	517,46	0,00
10	03:00:00	710,00	0,00	0,50	129,96	1,01e+03	0,00	0,00
11	03:00:00	710,00	150,00	0,50	122,01	991,57	180,00	0,00
12	03:00:00	700,00	150,00	0,50	120,53	978,17	180,00	0,00
13	03:00:00	695,00	100,00	0,50	121,80	976,11	120,00	0,00
21	03:00:00	700,00	150,00	0,50	120,21	977,44	180,00	0,00
22	03:00:00	695,00	200,00	0,50	121,71	975,89	240,00	0,00
23	03:00:00	690,00	150,00	0,50	123,67	975,42	180,00	0,00
31	03:00:00	700,00	100,00	0,50	117,88	972,05	120,00	0,00
32	03:00:00	710,00	100,00	0,50	112,76	970,25	120,00	0,00
9	03:00:00	800,00	0,00	1,00	0,00	800,00	-1,83e+03	0,00
2	03:00:00	850,00	0,00	1,00	55,52	978,14	505,38	0,00
10	04:00:00	710,00	0,00	0,50	130,28	1,01e+03	0,00	0,00
11	04:00:00	710,00	150,00	0,50	122,37	992,42	210,00	0,00
12	04:00:00	700,00	150,00	0,50	121,40	980,17	210,00	0,00
13	04:00:00	695,00	100,00	0,50	122,23	977,08	140,00	0,00
21	04:00:00	700,00	150,00	0,50	120,13	977,24	210,00	0,00
22	04:00:00	695,00	200,00	0,50	121,88	976,29	280,00	0,00
23	04:00:00	690,00	150,00	0,50	123,82	975,76	210,00	0,00
31	04:00:00	700,00	100,00	0,50	117,13	970,32	140,00	0,00
32	04:00:00	710,00	100,00	0,50	111,89	968,23	140,00	0,00
9	04:00:00	800,00	0,00	1,00	0,00	800,00	-1,82e+03	0,00
2	04:00:00	850,00	0,00	1,00	56,40	980,16	279,86	0,00
10	05:00:00	710,00	0,00	0,50	130,67	1,01e+03	0,00	0,00
11	05:00:00	710,00	150,00	0,50	122,81	993,43	210,00	0,00
12	05:00:00	700,00	150,00	0,50	121,88	981,29	210,00	0,00
13	05:00:00	695,00	100,00	0,50	122,71	978,20	140,00	0,00
21	05:00:00	700,00	150,00	0,50	120,60	978,32	210,00	0,00
22	05:00:00	695,00	200,00	0,50	122,36	977,39	280,00	0,00
23	05:00:00	690,00	150,00	0,50	124,30	976,87	210,00	0,00
31	05:00:00	700,00	100,00	0,50	117,60	971,40	140,00	0,00
32	05:00:00	710,00	100,00	0,50	112,37	969,32	140,00	0,00
9	05:00:00	800,00	0,00	1,00	0,00	800,00	-1,81e+03	0,00
2	05:00:00	850,00	0,00	1,00	56,88	981,28	273,25	0,00
10	06:00:00	710,00	0,00	0,50	130,67	1,01e+03	0,00	0,00
11	06:00:00	710,00	150,00	0,50	122,82	993,45	240,00	0,00
12	06:00:00	700,00	150,00	0,50	122,35	982,38	240,00	0,00
13	06:00:00	695,00	100,00	0,50	122,66	978,08	160,00	0,00
21	06:00:00	700,00	150,00	0,50	120,05	977,06	240,00	0,00
22	06:00:00	695,00	200,00	0,50	122,00	976,55	320,00	0,00
23	06:00:00	690,00	150,00	0,50	123,91	975,97	240,00	0,00
31	06:00:00	700,00	100,00	0,50	116,28	968,35	160,00	0,00
32	06:00:00	710,00	100,00	0,50	110,87	965,87	160,00	0,00
9	06:00:00	800,00	0,00	1,00	0,00	800,00	-1,81e+03	0,00
2	06:00:00	850,00	0,00	1,00	57,36	982,38	53,13	0,00
10	07:00:00	710,00	0,00	0,50	130,75	1,01e+03	0,00	0,00
11	07:00:00	710,00	150,00	0,50	122,90	993,65	240,00	0,00
12	07:00:00	700,00	150,00	0,50	122,45	982,59	240,00	0,00
13	07:00:00	695,00	100,00	0,50	122,75	978,29	160,00	0,00
21	07:00:00	700,00	150,00	0,50	120,14	977,27	240,00	0,00
22	07:00:00	695,00	200,00	0,50	122,09	976,76	320,00	0,00
23	07:00:00	690,00	150,00	0,50	124,00	976,18	240,00	0,00
31	07:00:00	700,00	100,00	0,50	116,37	968,56	160,00	0,00
32	07:00:00	710,00	100,00	0,50	110,96	966,08	160,00	0,00
9	07:00:00	800,00	0,00	1,00	0,00	800,00	-1,81e+03	0,00
2	07:00:00	850,00	0,00	1,00	57,45	982,59	51,87	0,00
10	08:00:00	710,00	0,00	0,50	131,19	1,01e+03	0,00	0,00
11	08:00:00	710,00	150,00	0,50	123,40	994,80	210,00	0,00
12	08:00:00	700,00	150,00	0,50	122,54	982,81	210,00	0,00
13	08:00:00	695,00	100,00	0,50	123,36	979,70	140,00	0,00
21	08:00:00	700,00	150,00	0,50	121,23	979,79	210,00	0,00
22	08:00:00	695,00	200,00	0,50	123,01	978,88	280,00	0,00
23	08:00:00	690,00	150,00	0,50	124,95	978,36	210,00	0,00
31	08:00:00	700,00	100,00	0,50	118,24	972,87	140,00	0,00
32	08:00:00	710,00	100,00	0,50	113,00	970,80	140,00	0,00
9	08:00:00	800,00	0,00	1,00	0,00	800,00	-1,80e+03	0,00
2	08:00:00	850,00	0,00	1,00	57,54	982,80	264,29	0,00
10	09:00:00	710,00	0,00	0,50	131,55	1,01e+03	0,00	0,00
11	09:00:00	710,00	150,00	0,50	123,82	995,76	210,00	0,00
12	09:00:00	700,00	150,00	0,50	123,00	983,86	210,00	0,00
13	09:00:00	695,00	100,00	0,50	123,82	980,75	140,00	0,00
21	09:00:00	700,00	150,00	0,50	121,67	980,81	210,00	0,00
22	09:00:00	695,00	200,00	0,50	123,46	979,92	280,00	0,00
23	09:00:00	690,00	150,00	0,50	125,40	979,40	210,00	0,00
31	09:00:00	700,00	100,00	0,50	118,68	973,90	140,00	0,00
32	09:00:00	710,00	100,00	0,50	113,45	971,83	140,00	0,00
9	09:00:00	800,00	0,00	1,00	0,00	800,00	-1,80e+03	0,00
2	09:00:00	850,00	0,00	1,00	58,00	983,86	258,00	0,00
10	10:00:00	710,00	0,00	0,50	132,27	1,02e+03	0,00	0,00
11	10:00:00	710,00	150,00	0,50	124,64	997,65	180,00	0,00
12	10:00:00	700,00	150,00	0,50	123,45	984,92	180,00	0,00
13	10:00:00	695,00	100,00	0,50	124,71	982,82	120,00	0,00
21	10:00:00	700,00	150,00	0,50	123,03	983,94	180,00	0,00
22	10:00:00	695,00	200,00	0,50	124,59	982,54	240,00	0,00
23	10:00:00	690,00	150,00	0,50	126,56	982,08	180,00	0,00
31	10:00:00	700,00	100,00	0,50	120,71	978,59	120,00	0,00
32	10:00:00	710,00	100,00	0,50	115,62	976,83	120,00	0,00
9	10:00:00	800,00	0,00	1,00	0,00	800,00	-1,79e+03	0,00
2	10:00:00	850,00	0,00	1,00	58,45	984,89	465,48	0,00
